id,node_type
11,statement UP
2,typeType DOWN
26,classBodyDeclaration DOWN
1,typeType UP
21,formalParameterList UP
27,typeDeclaration UP
3,formalParameter UP
12,statement DOWN
4,formalParameter DOWN
5,formalParameters UP
7,expression UP
20,classDeclaration DOWN
15,methodDeclaration UP
22,formalParameterList DOWN
17,classBody UP
19,classDeclaration UP
14,block DOWN
6,formalParameters DOWN
28,typeDeclaration DOWN
24,compilationUnit DOWN
25,classBodyDeclaration UP
16,methodDeclaration DOWN
18,classBody DOWN
8,expression DOWN
13,block UP
9,methodCall UP
23,compilationUnit UP
10,methodCall DOWN
